Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
514017,31.69,1,3.23,98387.3,809564.2,31,31,100.0,1401/01
100085,,0,0.0,,0.0,31,31,100.0,1401/01
805007,14.93,0,0.0,21074.4,552.1,31,31,100.0,1401/01
606138,24.95,0,0.0,42128.7,30698.33,31,31,100.0,1401/01
529027,2.0,0,0.0,321.3,214.25,10,31,32.26,1401/01
529182,3.1,0,0.0,72.6,933.41,31,31,100.0,1401/01
514378,10.6,0,0.0,23155.8,28329.4,31,31,100.0,1401/01
102847,36.19,0,0.0,47485.5,95898.5,31,31,100.0,1401/01
525522,12.88,0,0.0,141820.4,34341.1,31,31,100.0,1401/01
517251,3.9,0,0.0,4294.3,464.002,31,31,100.0,1401/01
107260,2.46,0,0.0,2429.8,772.724,31,31,100.0,1401/01
200682,,0,0.0,,0.0,31,31,100.0,1401/01
604634,,0,0.0,0.0,0.0,15,31,48.39,1401/01
212153,,0,0.0,,0.0,4,31,12.9,1401/01
530865,2.34,0,0.0,61.6,583.584,31,31,100.0,1401/01
608685,,0,0.0,,0.0,31,31,100.0,1401/01
516691,0.58,0,0.0,3787.7,61.653,31,31,100.0,1401/01
518510,0.73,3,9.68,240.2,940.314,31,31,100.0,1401/01
526244,,0,0.0,,0.0,31,31,100.0,1401/01
