Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
603245,کشاورزی,تربت حیدریه,909801049770.0,150.0,1402/02/29,1404/01/28 - 03:10:37,0.0,,10.5
517200,کشاورزی,مشهد,909801032095.0,100.0,1398/11/24,1404/01/12 - 03:11:40,99467.5,923226.9,8.48
515078,کشاورزی,مشهد,909801056373.0,150.0,1403/04/09,1404/01/11 - 03:09:22,,,
303036,کشاورزی,گناباد,909801058053.0,150.0,1403/04/08,1404/01/28 - 03:03:17,,,
602018,کشاورزی,خواف,909801035032.0,50.0,1400/03/26,1401/09/27 - 02:09:11,0.0,,
518453,کشاورزی,مشهد,909801032975.0,150.0,1399/07/23,1404/01/28 - 03:09:15,-248767.6,2934775.1,14.99
529034,کشاورزی,مشهد,909801033224.0,100.0,1399/08/02,1403/02/02 - 01:57:29,160373.7,906121.1,7.37
603138,کشاورزی,تربت حیدریه,909801053488.0,200.0,1402/07/04,1404/01/28 - 03:10:56,,,
603069,کشاورزی,تربت حیدریه,909801046146.0,125.0,1401/07/29,1404/01/28 - 02:08:25,145319.6,14311.0,18.25
622260,کشاورزی,تربت حیدریه,909801044662.0,80.0,1401/05/20,1404/01/28 - 02:10:09,42819.24,14133.6,6.95
