,Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
182,زندان مرکزی,صنعتی,مشهد,909801039073.0,50.0,1403/10/03,1404/01/28 - 03:03:28,1422.102,9649.0,2.46
183,زندان مرکزی,صنعتی,مشهد,909801059514.0,80.0,1403/01/05,1404/01/28 - 03:10:51,,,
184,خروجی مخزن باهنر300,,تربت حیدریه,909801065992.0,300.0,1403/09/17,,,,
185,خروجی مخزن قندشتن,,تربت حیدریه,909801068075.0,300.0,1403/08/24,,,,
186,ورودی مخزن 5000,,تربت حیدریه,909801065521.0,350.0,1403/08/27,,,,
187,چاه کاج درخت,,تربت حیدریه,909801067286.0,150.0,1403/09/21,,,,
188,چاه گوجی 4,,تربت حیدریه,909801064465.0,150.0,1403/09/21,,,,
189,خروجی مخزن عباس آباد,,تربت حیدریه,909801067289.0,400.0,1403/12/02,,,,
190,خروجی مخزن ولیعصر300,,تربت حیدریه,909801068132.0,300.0,1403/09/07,,,,
191,خروجی پمپاژ مدرس,,تربت حیدریه,909801065305.0,250.0,1403/09/11,,,,
192,مخزن 2000 ولیعصر,,تربت حیدریه,909801066441.0,400.0,1403/08/30,,,,
193,ورودی5000 به مخزن قندشتن,,تربت حیدریه,909801065220.0,250.0,1403/08/20,,,,
194,ورودی مخزن باهنر,,تربت حیدریه,909801068102.0,300.0,1403/09/13,,,,
195,ورودی پمپاژ به باهنر,,تربت حیدریه,909801067988.0,300.0,1403/09/18,,,,
196,ورودی 250 مخزن قندشتن,,تربت حیدریه,909801065282.0,250.0,1403/08/15,,,,
197,چاه آبرود9,,تربت حیدریه,909801062514.0,150.0,1403/08/16,,,,
198,چاه شادمهر,,تربت حیدریه,909801067111.0,150.0,1403/09/06,,,,
199,چاه شماره 1 ازغند,,تربت حیدریه,909801067113.0,150.0,1403/09/05,,,,
200,چاه شماره 1 بهارستان,,تربت حیدریه,909801065447.0,150.0,1403/08/12,,,,
201,چاه شماره2 ازغند,,تربت حیدریه,909801067108.0,150.0,1403/09/05,,,,
202,چاه شماره 2 اسفیوخ,,تربت حیدریه,909801065898.0,200.0,1403/08/17,,,,
203,چاه شماره 3 ازغند,,تربت حیدریه,909801067110.0,150.0,1403/09/05,,,,
204,چاه شماره 3 اسفیوخ,,تربت حیدریه,909801067283.0,150.0,1403/09/20,,,,
205,چاه شماره 3 بهارستان,,تربت حیدریه,909801065298.0,100.0,1403/08/07,,,,
206,چاه شماره 3 جعفر آباد,,تربت حیدریه,909801064469.0,150.0,1403/10/24,,,,
207,چاه شماره 5 ازغند,,تربت حیدریه,909801067285.0,150.0,1403/09/04,,,,
208,چاه شماره 2 بهارستان,,تربت حیدریه,909801065744.0,150.0,1403/08/14,,,,
209,چاه شماره 4 ازغند,,تربت حیدریه,909801067112.0,150.0,1403/09/06,,,,
210,چاه شماره 6 اسفیوخ,,تربت حیدریه,909801065300.0,100.0,1403/08/13,,,,
211,چاه فلمن,,تربت حیدریه,909801065745.0,150.0,1403/09/04,,,,
212,چاه منصوریه2,,تربت حیدریه,909801067323.0,150.0,1403/08/28,,,,
213,چاه منصوریه1,,تربت حیدریه,909801067322.0,150.0,1403/08/28,,,,
214,چاه گوجی 1,,تربت حیدریه,909801067324.0,150.0,1403/08/23,,,,
215,چاه گوجی روستایی,,تربت حیدریه,909801067325.0,150.0,1403/08/19,,,,
216,چاه گوجی 3,,تربت حیدریه,909801067107.0,150.0,1403/08/23,,,,
217,80143,,مشهد,929801000665.0,15.0,1403/08/09,1403/12/19 - 00:03:05,,,
218,806415,,نیشابور,909801048202.0,150.0,1401/11/05,1403/11/09 - 03:13:00,387119.4,1108.6,11.7
219,806416,شرب شهری,نیشابور,909801048203.0,150.0,1401/11/05,1404/01/28 - 03:10:51,696583.7,1041.0,18.6
220,806412,,نیشابور,909801048207.0,150.0,1401/11/05,1404/01/28 - 03:10:43,1397789.8,1099.0,31.14
221,806414,شرب شهری,نیشابور,909801048288.0,150.0,1401/11/05,1404/01/28 - 03:07:39,511922.2,1025.8,13.45
222,806413,شرب شهری,نیشابور,909801048289.0,150.0,1401/11/05,1404/01/28 - 03:10:35,812696.3,1161.7,19.77
223,805588,,نیشابور,909801068275.0,150.0,1403/11/29,1404/01/27 - 03:12:44,,,
224,804617,,نیشابور,909801068311.0,150.0,1403/11/29,1404/01/28 - 03:10:48,,,
225,چاه شماره 13,,مشهد,909801048296.0,200.0,1403/06/13,1404/01/28 - 03:07:14,,,
226,چاه شماره 14,,مشهد,909801048298.0,200.0,1403/06/13,1404/01/28 - 03:09:57,,,
227,چاه شماره 12,,مشهد,909801048299.0,200.0,1403/06/13,1403/08/10 - 03:10:39,,,
228,بیمارستان سجادیه,,تربت جام,909801058527.0,50.0,1402/10/21,1404/01/28 - 03:11:08,,,
229,805438,کشاورزی,نیشابور,909801044474.0,50.0,1401/06/08,1403/08/14 - 02:10:32,186.435,124.5,0.97
230,اذر مختاری,,طرقبه,929801000645.0,15.0,1403/12/21,1404/01/27 - 13:54:22,,,
231,516682,صنعتی,مشهد,909801034981.0,50.0,1400/03/29,1401/06/24 - 01:56:14,991.561,53516.7,0.73
232,517680,صنعتی,مشهد,909801057810.0,50.0,1403/02/11,1404/01/28 - 03:09:56,,,
233,517831,صنعتی,مشهد,909801037822.0,80.0,1401/05/15,1403/04/19 - 02:10:26,6252.128,3453.4,2.61
234,514804,کشاورزی,مشهد,909801048239.0,100.0,1402/03/28,1404/01/28 - 03:10:28,0.0,,
235,806494,,نیشابور,909801048266.0,80.0,1402/04/13,1404/01/28 - 03:10:38,21469.6,0.0,7.9
236,517913,,مشهد,909801035014.0,50.0,1400/08/06,1404/01/28 - 02:10:32,17662.06,36348.2,3.23
237,529109,کشاورزی,مشهد,909801033383.0,150.0,1399/09/09,1403/08/06 - 02:10:26,9069948.3,459662.7,34.79
